video_id,label,frames,label_id,shape,format,id
1.0,Doing other things,37,0.0,"(100, 176)",JPEG,
3.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
6.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
11.0,Sliding Two Fingers Down,37,10.0,"(100, 176)",JPEG,
14.0,Pushing Hand Away,37,5.0,"(100, 176)",JPEG,
17.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
20.0,Doing other things,37,0.0,"(100, 176)",JPEG,
28.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
31.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
34.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
36.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
37.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
41.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
42.0,Sliding Two Fingers Up,37,13.0,"(100, 132)",JPEG,
46.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
50.0,No gesture,37,2.0,"(100, 176)",JPEG,
51.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
55.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
56.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
58.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
59.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
62.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
66.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
69.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
70.0,No gesture,37,2.0,"(100, 176)",JPEG,
72.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
74.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
75.0,Doing other things,37,0.0,"(100, 176)",JPEG,
76.0,Doing other things,37,0.0,"(100, 176)",JPEG,
79.0,Pushing Hand Away,37,5.0,"(100, 132)",JPEG,
85.0,Sliding Two Fingers Down,37,10.0,"(100, 100)",JPEG,
89.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
92.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
94.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
95.0,Swiping Right,37,17.0,"(100, 132)",JPEG,
100.0,Swiping Right,37,17.0,"(100, 176)",JPEG,
103.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
104.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
106.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
107.0,Swiping Left,37,16.0,"(100, 100)",JPEG,
109.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
110.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
112.0,Doing other things,37,0.0,"(100, 176)",JPEG,
118.0,Doing other things,37,0.0,"(100, 176)",JPEG,
121.0,Sliding Two Fingers Down,37,10.0,"(100, 132)",JPEG,
125.0,Doing other things,37,0.0,"(100, 176)",JPEG,
133.0,Rolling Hand Backward,37,7.0,"(100, 176)",JPEG,
137.0,Shaking Hand,37,9.0,"(100, 176)",JPEG,
138.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
139.0,Pulling Two Fingers In,37,4.0,"(100, 176)",JPEG,
141.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
145.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
149.0,Swiping Right,37,17.0,"(100, 132)",JPEG,
150.0,Zooming Out With Full Hand,37,25.0,"(100, 176)",JPEG,
151.0,Turning Hand Counterclockwise,37,22.0,"(100, 132)",JPEG,
154.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
155.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
157.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
159.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
160.0,Thumb Down,37,19.0,"(100, 132)",JPEG,
161.0,No gesture,37,2.0,"(100, 176)",JPEG,
164.0,Turning Hand Counterclockwise,37,22.0,"(100, 176)",JPEG,
167.0,Zooming In With Full Hand,37,23.0,"(100, 132)",JPEG,
169.0,Swiping Left,37,16.0,"(100, 176)",JPEG,
171.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
173.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
175.0,Turning Hand Clockwise,37,21.0,"(100, 176)",JPEG,
176.0,Sliding Two Fingers Left,37,11.0,"(100, 176)",JPEG,
179.0,Turning Hand Counterclockwise,37,22.0,"(100, 176)",JPEG,
184.0,Sliding Two Fingers Down,37,10.0,"(100, 132)",JPEG,
187.0,Doing other things,37,0.0,"(100, 176)",JPEG,
188.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
189.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
193.0,Thumb Down,37,19.0,"(100, 176)",JPEG,
194.0,Zooming In With Full Hand,37,23.0,"(100, 176)",JPEG,
196.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
197.0,Zooming In With Full Hand,37,23.0,"(100, 132)",JPEG,
198.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
201.0,Rolling Hand Backward,37,7.0,"(100, 176)",JPEG,
205.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
207.0,Stop Sign,37,14.0,"(100, 176)",JPEG,
212.0,Rolling Hand Forward,37,8.0,"(100, 176)",JPEG,
217.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
220.0,No gesture,37,2.0,"(100, 176)",JPEG,
223.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
227.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
232.0,Swiping Up,37,18.0,"(100, 132)",JPEG,
233.0,Drumming Fingers,37,1.0,"(100, 176)",JPEG,
235.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
237.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
238.0,Zooming In With Two Fingers,37,24.0,"(100, 132)",JPEG,
239.0,Zooming In With Two Fingers,37,24.0,"(100, 176)",JPEG,
242.0,Sliding Two Fingers Up,37,13.0,"(100, 176)",JPEG,
243.0,Pushing Two Fingers Away,37,6.0,"(100, 176)",JPEG,
246.0,Zooming Out With Two Fingers,37,26.0,"(100, 176)",JPEG,
248.0,Swiping Down,37,15.0,"(100, 176)",JPEG,
250.0,Swiping Up,37,18.0,"(100, 176)",JPEG,
252.0,Pulling Hand In,37,3.0,"(100, 176)",JPEG,
